epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,163.025,1.15439,3.67956,1.64282,0.00298,0.51538,0.0216,0.00586,1.34473,4.55395,1.61118,0.00040905,0.00013635,0.00040905,0.00013635,0.00040905,0.00013635,0.00040905,0.00013635
2,271.893,0.99025,3.59783,1.52154,0.003,0.55879,0.0388,0.01325,1.21586,4.43095,1.59762,0.000837001,0.000279,0.000837001,0.000279,0.000837001,0.000279,0.000837001,0.000279
3,381.102,0.81156,3.53143,1.42535,0.00512,0.65165,0.03919,0.01701,0.88157,4.26558,1.3011,0.00125631,0.000418771,0.00125631,0.000418771,0.00125631,0.000418771,0.00125631,0.000418771
4,479.198,0.60884,3.43684,1.29601,0.0038,0.71593,0.02698,0.0127,0.73795,4.23064,1.19963,0.00166699,0.000555662,0.00166699,0.000555662,0.00166699,0.000555662,0.00166699,0.000555662
5,571.992,0.46075,3.34786,1.21968,0.00336,0.82143,0.03615,0.01817,0.7065,4.19751,1.12563,0.00206902,0.000689673,0.00206902,0.000689673,0.00206902,0.000689673,0.00206902,0.000689673
6,664.928,0.37138,3.26094,1.15369,0.0034,0.92857,0.14682,0.1187,0.47866,4.06531,0.81071,0.00246241,0.000820804,0.00246241,0.000820804,0.00246241,0.000820804,0.00246241,0.000820804
7,752.624,0.33949,3.12848,1.11998,0.00339,1,0.14259,0.11705,0.43523,3.94459,0.73817,0.00256502,0.000855005,0.00256502,0.000855005,0.00256502,0.000855005,0.00256502,0.000855005
8,840.275,0.32482,2.99181,1.11374,0.87194,0.07143,0.18962,0.1711,0.39332,3.83849,0.73952,0.00253802,0.000846006,0.00253802,0.000846006,0.00253802,0.000846006,0.00253802,0.000846006
9,987.588,0.30626,2.84515,1.10081,0.58058,0.14286,0.18329,0.16029,0.43688,3.8242,0.74717,0.00251102,0.000837007,0.00251102,0.000837007,0.00251102,0.000837007,0.00251102,0.000837007
10,1072.91,0.29282,2.74263,1.05539,0.58226,0.21787,0.16342,0.13978,0.41399,4.06819,0.69887,0.00248402,0.000828008,0.00248402,0.000828008,0.00248402,0.000828008,0.00248402,0.000828008
11,1161.59,0.24894,2.54203,1.0387,0.3665,0.36429,0.19931,0.18023,0.36494,4.14275,0.56656,0.00245703,0.000819009,0.00245703,0.000819009,0.00245703,0.000819009,0.00245703,0.000819009
12,1250,0.25135,2.45059,1.04261,0.35271,0.43571,0.15696,0.13382,0.49295,4.4915,0.7038,0.00243003,0.00081001,0.00243003,0.00081001,0.00243003,0.00081001,0.00243003,0.00081001
13,1337.09,0.22413,2.28766,1.01178,0.35035,0.42143,0.15432,0.13047,0.41905,4.42194,0.62497,0.00240303,0.000801011,0.00240303,0.000801011,0.00240303,0.000801011,0.00240303,0.000801011
14,1507.8,0.24492,2.17383,1.02492,0.36933,0.65908,0.16963,0.15198,0.40282,4.25911,0.62102,0.00237604,0.000792012,0.00237604,0.000792012,0.00237604,0.000792012,0.00237604,0.000792012
15,1714.1,0.21184,2.12572,0.992,0.35677,0.69286,0.18052,0.15738,0.40041,4.20021,0.60658,0.00234904,0.000783013,0.00234904,0.000783013,0.00234904,0.000783013,0.00234904,0.000783013
16,1896.16,0.22545,2.07096,1.02303,0.36665,0.69286,0.18148,0.16423,0.37016,4.15885,0.57561,0.00232204,0.000774013,0.00232204,0.000774013,0.00232204,0.000774013,0.00232204,0.000774013
17,2056.28,0.19518,1.96833,0.98918,0.36376,0.55,0.21829,0.19843,0.33944,4.05728,0.50214,0.00229504,0.000765014,0.00229504,0.000765014,0.00229504,0.000765014,0.00229504,0.000765014
18,2227.37,0.18306,1.92489,0.97895,0.3574,0.71429,0.20892,0.16601,0.38261,3.85991,0.52228,0.00226805,0.000756015,0.00226805,0.000756015,0.00226805,0.000756015,0.00226805,0.000756015
19,2398.52,0.18889,1.93971,0.98394,0.35564,0.68155,0.21815,0.1757,0.39274,3.77642,0.54295,0.00224105,0.000747016,0.00224105,0.000747016,0.00224105,0.000747016,0.00224105,0.000747016
20,2556.11,0.17961,1.85279,0.98053,0.21729,0.69286,0.23602,0.19358,0.37329,3.83171,0.52794,0.00221405,0.000738017,0.00221405,0.000738017,0.00221405,0.000738017,0.00221405,0.000738017
21,2714.88,0.15675,1.77899,0.95867,0.36379,0.66429,0.23638,0.21195,0.30209,3.79869,0.44488,0.00218705,0.000729018,0.00218705,0.000729018,0.00218705,0.000729018,0.00218705,0.000729018
22,2873.68,0.14351,1.71852,0.95704,0.3793,0.65,0.31225,0.28798,0.30277,3.72336,0.4226,0.00216006,0.000720019,0.00216006,0.000720019,0.00216006,0.000720019,0.00216006,0.000720019
23,3034.98,0.16182,1.71024,0.97584,0.37802,0.64286,0.26941,0.22109,0.31132,3.67749,0.42834,0.00213306,0.00071102,0.00213306,0.00071102,0.00213306,0.00071102,0.00213306,0.00071102
24,3195.94,0.1515,1.6529,0.95627,0.37399,0.62857,0.24485,0.19804,0.33506,3.63036,0.45588,0.00210606,0.000702021,0.00210606,0.000702021,0.00210606,0.000702021,0.00210606,0.000702021
25,18545.8,0.14087,1.62431,0.93502,0.21728,0.62857,0.24716,0.21564,0.30289,3.53496,0.43309,0.00207906,0.000693022,0.00207906,0.000693022,0.00207906,0.000693022,0.00207906,0.000693022
